cityid,cityname,lattitude,longitude
51457,"Nagardas Road,Mumbai,400069,MAHARASHTRA",19.12954521,72.85294342
51458,"Kurla North,Mumbai,400070,MAHARASHTRA",19.08022308,72.88327789
51459,"Kurla,Mumbai,400070,MAHARASHTRA",19.08022308,72.88327789
51460,"Netajinagar,Mumbai,400070,MAHARASHTRA",19.08022308,72.88327789
51461,"Chembur,Mumbai,400071,MAHARASHTRA",19.12315941,72.90939331
51462,"Sindhi Society,Mumbai,400071,MAHARASHTRA",19.12315941,72.90939331
51463,"Sakinaka,Mumbai,400072,MAHARASHTRA",19.01670074,72.84999847
51464,"Vihar Road,Mumbai,400072,MAHARASHTRA",19.01670074,72.84999847
51465,"Chembur Extension,Mumbai,400074,MAHARASHTRA",19.0354023,72.89437866
51466,"FCI,Mumbai,400074,MAHARASHTRA",19.0354023,72.89437866
51467,"Mahul Road,Mumbai,400074,MAHARASHTRA",19.0354023,72.89437866
51468,"Best Staff Colony,Mumbai,400075,MAHARASHTRA",19.0919857,72.91677094
51469,"Pant Nagar,Mumbai,400075,MAHARASHTRA",19.0919857,72.91677094
51470,"R.A.Nagar,Mumbai,400075,MAHARASHTRA",19.0919857,72.91677094
51471,"Powai Iit,Mumbai,400076,MAHARASHTRA",19.1258812,72.9187088
51472,"Rajawadi,Mumbai,400077,MAHARASHTRA",19.07221222,72.90841675
51473,"Bhandup Ind. Estate,Mumbai,400078,MAHARASHTRA",19.15387344,72.94193268
51474,"Bhandup West,Mumbai,400078,MAHARASHTRA",19.15387344,72.94193268
51475,"J.M. Road,Mumbai,400078,MAHARASHTRA",19.15387344,72.94193268
51476,"P.H. Colony,Mumbai,400078,MAHARASHTRA",19.15387344,72.94193268
51477,"Usha Nagar,Mumbai,400078,MAHARASHTRA",19.15387344,72.94193268
51478,"Psm Colony,Mumbai,400079,MAHARASHTRA",19.10632706,72.91364288
51479,"Vikhroli,Mumbai,400079,MAHARASHTRA",19.10632706,72.91364288
51480,"Mulund Dd Road,Mumbai,400080,MAHARASHTRA",19.17445946,72.94911194
51481,"Mulund West,Mumbai,400080,MAHARASHTRA",19.17445946,72.94911194
51482,"Nahur,Mumbai,400080,MAHARASHTRA",19.17445946,72.94911194
51483,"Nehru Road (Mumbai),Mumbai,400080,MAHARASHTRA",19.17445946,72.94911194
51484,"S.B. Road,Mumbai,400080,MAHARASHTRA",19.17445946,72.94911194
51485,"Mhada Colony,Mumbai,400081,MAHARASHTRA",19.16951752,72.96392822
51486,"Mulund East,Mumbai,400081,MAHARASHTRA",19.16951752,72.96392822
51487,"Bhandup Complex,Mumbai,400082,MAHARASHTRA",19.17289734,72.93492889
51488,"Mulund Colony,Mumbai,400082,MAHARASHTRA",19.17289734,72.93492889
51489,"Kannamwar Nagar,Mumbai,400083,MAHARASHTRA",19.11494446,72.93237305
51490,"Tagore Nagar,Mumbai,400083,MAHARASHTRA",19.11494446,72.93237305
51491,"Barve Nagar,Mumbai,400084,MAHARASHTRA",19.11264992,72.91732025
51492,"BARC,Mumbai,400085,MAHARASHTRA",19.01670074,72.84999847
51493,"Ghatkopar West,Mumbai,400086,MAHARASHTRA",19.08813858,72.90524292
51494,"Rifle Range,Mumbai,400086,MAHARASHTRA",19.08813858,72.90524292
51495,"Sahakar Bhavan,Mumbai,400086,MAHARASHTRA",19.08813858,72.90524292
51496,"NITIE,Mumbai,400087,MAHARASHTRA",19.13524246,72.90055084
51497,"Govandi,Mumbai,400088,MAHARASHTRA",19.04425812,72.92636108
51498,"T.F.Donar,Mumbai,400088,MAHARASHTRA",19.04425812,72.92636108
